"ind","obs","age","length","BHDF"
36,1,28.3333333333333,2.99661579322825,0.973735894654577
36,2,28.3333333333333,2.97094430591225,0.945964037393258
36,3,28.3333333333333,2.92881626440539,0.912147153866438
36,4,28.3333333333333,2.99925050861946,1.00772387978864
36,5,28.6666666666667,2.83577324670779,0.907026964764385
36,6,28.6666666666667,2.93142239863142,0.996549636833035
119,1,4.75,2.724768002351,0.873078680063135
119,2,4.75,2.7071891004767,0.835363163163906
79,1,12.0833333333333,2.98941159487224,0.975350317408612
79,2,12.3333333333333,2.8701745956329,0.943148742265263
79,3,12.3333333333333,3.02166735500467,0.991174115746525
79,4,12.6666666666667,3.02100738252238,0.979778279374142
79,5,12.6666666666667,3.01779019662175,0.951775080683457
79,6,12.6666666666667,3.04125508852544,0.920366199492387
79,7,12.6666666666667,2.9732311497664,0.965257446796059
15,1,11.3333333333333,2.77187901704877,0.891386975925847
15,2,11.3333333333333,2.83765922517824,0.855229834228988
15,3,11.3333333333333,2.81121992874501,0.889947025484903
15,4,11.3333333333333,2.76216846678949,0.875821779626925
15,5,11.3333333333333,2.79400709336093,0.855755085266785
15,6,11.3333333333333,2.85750787752495,0.855940987139019
15,7,11.3333333333333,2.85059014908381,0.89161637217093
15,8,11.3333333333333,2.85032217804285,0.887558795386483
15,9,11.6666666666667,2.7317674270812,0.846884848984484
49,1,24.8333333333333,3.11695766590832,1.00230771912917
49,2,25.75,3.10051641499573,0.999953953549005
106,1,5.08333333333333,2.39594520425619,0.743300236651515
106,2,5.08333333333333,2.42608824453105,0.749905217434081
106,3,5.08333333333333,2.36944753267473,0.72407889798577
106,4,5.33333333333333,2.35011237894377,0.711539450596618
106,5,5.33333333333333,2.35027198332644,0.735441202027896
106,6,5.33333333333333,2.38410135485406,0.722461452719901
106,7,5.33333333333333,2.30435097634839,0.693910881791224
106,8,5.33333333333333,2.44292551091189,0.686009933461954
106,9,5.66666666666667,2.4463379696128,0.774672252791107
106,10,5.66666666666667,2.4704703247913,0.741100779268224
106,11,5.66666666666667,2.45983930335756,0.762488404450811
106,12,5.66666666666667,2.46872957537046,0.761082919804804
39,1,12.0833333333333,2.95356672832134,0.937972154913723
39,2,12.0833333333333,2.8966942728234,0.933589585188956
39,3,12.3333333333333,2.90522110020289,0.910676779257988
39,4,12.6666666666667,2.90223656004514,0.972757781857101
39,5,13.1666666666667,2.9223747892169,0.942147742808911
39,6,13.1666666666667,3.02628589286556,0.993110895418643
65,1,6.75,2.73929305698291,0.824641972672189
18,1,17.75,2.80079393791814,0.908078086392794
18,2,17.75,2.81462174923051,0.868106993919969
18,3,17.75,2.73531673099197,0.821784442509359
18,4,17.75,2.77390977372597,0.828665603170006
18,5,17.75,2.85439207920629,0.857148357259196
14,1,11.8333333333333,2.68762429546961,0.879315411294455
14,2,12.75,2.86121395519684,0.904742380384001
90,1,13.75,3.1091440282348,0.972992059774718
90,2,13.75,3.09468654651406,0.950510718987242
24,1,7.08333333333333,2.85509454608487,0.971741100882771
24,2,7.33333333333333,2.86701660193455,0.933487954256391
24,3,7.33333333333333,2.78239733009152,0.909537214230933
24,4,7.33333333333333,2.86066804067795,0.938274396346493
24,5,7.33333333333333,2.92929529840039,0.930278016520491
24,6,7.33333333333333,2.83576542063239,0.892548348828692
24,7,7.33333333333333,2.79581158249345,0.975516442262132
24,8,7.33333333333333,2.78248993202454,0.877523040871479
24,9,7.33333333333333,2.88082438249495,0.878978543081851
24,10,7.66666666666667,2.96544083145781,0.942731794268235
24,11,7.66666666666667,3.02376622708482,0.968337567130701
24,12,7.66666666666667,2.86337598895754,0.91547652917724
24,13,8.16666666666667,2.95542569365132,0.949335467652188
24,14,8.16666666666667,2.89627116748548,0.956923404464623
24,15,8.16666666666667,2.90868605851604,0.942301213712798
24,16,8.16666666666667,2.9045683858214,0.929486768123118
44,1,19.75,3.14024251709618,1.02818678843421
44,2,19.75,3.07008177987266,0.981454539063015
44,3,19.75,3.10770531170728,1.00762592043177
44,4,19.75,2.99172319702261,0.998994451532017
44,5,19.75,3.10987631279578,0.95991590054165
54,1,1.66666666666667,2.25001556178747,0.790567386473847
54,2,2.08333333333333,2.31774650046356,0.710079340701833
54,3,2.08333333333333,2.35984893812787,0.774418431574791
54,4,2.08333333333333,2.39189163522452,0.724858622854423
54,5,2.66666666666667,2.45205775143162,0.792871693346931
54,6,2.66666666666667,2.36217055847099,0.811503221936901
54,7,2.66666666666667,2.49514287114802,0.792845968421857
54,8,2.66666666666667,2.42214761451807,0.749981084900477
54,9,2.83333333333333,2.53376974809517,0.787136055426839
54,10,3.16666666666667,2.54826356624702,0.779423571372552
54,11,3.16666666666667,2.53051008576463,0.854050846148406
54,12,3.16666666666667,2.36586516522627,0.802748965814466
101,1,0.833333333333333,1.82771362591596,0.637757920958274
101,2,1.08333333333333,1.93067086606503,0.66627364550662
101,3,1.33333333333333,2.12131005345546,0.717068650556555
101,4,1.33333333333333,2.03252329664131,0.678656897036076
101,5,1.66666666666667,2.575930336123,0.835158672346047
118,1,11.8333333333333,2.68440233655371,0.896306766396123
130,1,14.8333333333333,2.87270380122652,0.870934196241031
83,1,12.75,2.914430819524,0.962816104524031
83,2,12.75,3.04413339592734,0.913630553452598
20,1,10.3333333333333,2.92171639154987,0.899982381659486
20,2,10.6666666666667,2.73956216753018,0.880832611985443
20,3,10.6666666666667,2.77068123526575,0.922006885871082
35,1,12.8333333333333,3.10657549880734,0.994392821493644
35,2,12.8333333333333,2.8350601833288,0.911583750587491
35,3,13.75,2.92152854900834,0.913803675840647
