"ID","year_zero","SEX","POD","age_value","age_add","ind"
"BATMAN",2017,"M","DUSKY","actual","actual",65
"PIGLET",2010,"M","DOUBTFUL","actual","actual",66
"JACK",2013,"M","DOUBTFUL","actual","actual",67
"G",1996,"M","DOUBTFUL","actual","actual",68
"LEOPARD",2006,"M","DUSKY","est","est",69
"HOBO",2014,"M","DUSKY","actual","actual",70
"TACO",2011,"M","DUSKY","actual","actual",71
"NESS",2014,"M","DUSKY","actual","actual",72
"DANGER",2016,"M","DOUBTFUL","actual","actual",73
"POP",2010,"M","DUSKY","actual","actual",74
"MUSSEL",2011,"M","DOUBTFUL","actual","actual",75
"REEL",2008,"M","DUSKY","est","est",76
"SEAL",2008,"M","DOUBTFUL","actual","actual",77
"GILL",2006,"M","DUSKY","est","est",78
"ALASKA",2011,"M","DOUBTFUL","actual","actual",79
"MUS",1996,"M","DOUBTFUL","est","est",80
"DN63",1994,"M","DOUBTFUL","est","est",81
"PATIO",2008,"M","DOUBTFUL","actual","actual",82
"BUENOS",2011,"M","DUSKY","actual","actual",83
"UPBANG",1994,"M","DOUBTFUL","est","est",84
"SN96",1994,"M","DOUBTFUL","est","est",85
"SIDEMARK",2005,"M","DUSKY","actual","actual",86
"SPLASH",2006,"M","DOUBTFUL","actual","actual",87
"POXFIN",2001,"M","DOUBTFUL","est","est",88
"LOWSPOT",2006,"M","DUSKY","est","est",89
"BETSY",2010,"M","DUSKY","actual","actual",90
"ZEBRA",2004,"M","DOUBTFUL","est","est",91
"NUMBER-1",1996,"M","DOUBTFUL","est","est",92
"BADGE",2008,"M","DUSKY","actual","actual",93
"TAMATEA",2010,"M","DUSKY","actual","actual",94
"TOFFEE",2023,"X","DOUBTFUL","actual","actual",95
"SESAME",2023,"X","DOUBTFUL","actual","actual",96
"HIVE",2022,"X","DUSKY","actual","actual",97
"ICE",2022,"X","DUSKY","actual","actual",98
"TRIG",2023,"X","DUSKY","actual","actual",99
"FRISBEE",2022,"X","DOUBTFUL","actual","actual",100
"BOBA",2022,"X","DOUBTFUL","actual","actual",101
"TAMALE",2022,"X","DUSKY","actual","actual",102
"CRUMPLE",2021,"X","DUSKY","actual","actual",103
"KEW",2021,"X","DUSKY","actual","actual",104
"SHIVERS",2021,"X","DOUBTFUL","actual","actual",105
"ASTRO",2018,"X","DOUBTFUL","actual","actual",106
"DOODLE",2019,"X","DUSKY","actual","actual",107
"JOLLY-GOOD",2017,"X","DOUBTFUL","actual","actual",108
"TOE",2016,"X","DOUBTFUL","actual","actual",109
"DIVIDE",2019,"X","DUSKY","actual","actual",110
"HOLY",2014,"X","DUSKY","actual","actual",111
"QUIVER",2018,"X","DUSKY","actual","actual",112
"OOMPA",2016,"X","DUSKY","actual","actual",113
"RHODES",2015,"X","DUSKY","actual","actual",114
"JENGA",2016,"X","DUSKY","actual","actual",115
"INKA",2009,"X","DUSKY","actual","actual",116
"RYDER",2014,"X","DUSKY","actual","actual",117
"BORAT",2011,"X","DUSKY","actual","actual",118
"ADAM",2019,"X","DUSKY","actual","actual",119
"MOLE",2014,"X","DUSKY","actual","actual",120
"ITCHY",2013,"X","DOUBTFUL","actual","actual",121
"SMUDGE",2017,"X","DOUBTFUL","actual","actual",122
"HALLEY",2014,"X","DOUBTFUL","actual","actual",123
"TUX",2012,"X","DUSKY","actual","actual",124
"CUB",2013,"X","DUSKY","actual","actual",125
"SPARE",2013,"X","DUSKY","actual","actual",126
"DUB",2006,"X","DUSKY","est","est",127
"RIDGE",2006,"X","DUSKY","actual","actual",128
"CHIP",2012,"X","DOUBTFUL","actual","actual",129
"BOXY",2008,"X","DUSKY","actual","actual",130
"TOP",2010,"X","DUSKY","actual","actual",131
"PAW",2009,"X","DUSKY","actual","actual",132
"VINYL",2006,"X","DUSKY","est","est",133
"ONEPLUS",2006,"X","DUSKY","est","est",134
"MAUL",2007,"X","DUSKY","est","est",135
"KEEL",2006,"X","DUSKY","est","est",136
"OYSTER",2006,"X","DUSKY","est","est",137
"SCOOP",2006,"X","DUSKY","est","est",138
"PIMPLE",2006,"X","DUSKY","est","est",139
"OAK",2016,"X","DUSKY","actual","actual",140
"RIP",2016,"X","DUSKY","actual","actual",141
"STRAW",2021,"X","DUSKY","actual","actual",142
"TATTOO",2007,"X","DUSKY","est","est",143
