"ID","year_zero","SEX","POD","age_value","ind"
"CHIP",2012,"X","DOUBTFUL","actual",129
"BOXY",2008,"X","DUSKY","actual",130
"TOP",2010,"X","DUSKY","actual",131
"PAW",2009,"X","DUSKY","actual",132
"VINYL",2006,"X","DUSKY","est",133
"ONEPLUS",2006,"X","DUSKY","est",134
"MAUL",2007,"X","DUSKY","est",135
"KEEL",2006,"X","DUSKY","est",136
"OYSTER",2006,"X","DUSKY","est",137
"SCOOP",2006,"X","DUSKY","est",138
"PIMPLE",2006,"X","DUSKY","est",139
"OAK",2016,"X","DUSKY","actual",140
"RIP",2016,"X","DUSKY","actual",141
"STRAW",2021,"X","DUSKY","actual",142
"TATTOO",2007,"X","DUSKY","est",143
